"Gene_ID","Gene_name","Fourier_score","P_value","FDR"
"YGR245C","SDA1",4.13067357432293,0.31098,0.464558578300374
"YGR246C","BRF1",5.65528634832183,0.08323,0.191620963756178
"YGR247W","CPD1",4.25594556410988,0.28804,0.442225652293326
"YGR249W","MGA1",3.26199581194965,0.48662,0.613349673055242
"YGR250C","YGR250C",5.41421317772137,0.11514,0.239179710144928
"YGR251W","YGR251W",3.4927227347979,0.46022,0.591545136813061
"YGR252W","GCN5",7.41734753925645,0.00568,0.0268168918918919
"YGR253C","PUP2",2.74840369463507,0.61315,0.711544218393191
"YGR254W","ENO1",3.99660400181014,0.3776,0.521278188995806
"YGR255C","COQ6",8.21385874135861,6e-05,0.00153150684931507
"YGR256W","GND2",4.10961354802222,0.3602,0.506545408805031
"YGR257C","MTM1",4.7696806975937,0.19985,0.349567396745932
"YGR258C","RAD2",6.08710689778088,0.05475,0.141559898242368
"YGR260W","TNA1",1.73304163801818,0.8197,0.866349593495935
"YGR261C","APL6",3.37985797217006,0.49204,0.617951831049202
"YGR262C","BUD32",5.59114503689053,0.10203,0.220552088167053
"YGR263C","SAY1",7.22446625177027,0.00645,0.0293372660699756
"YGR264C","MES1",4.17985314719181,0.2997,0.454263286334056
"YGR266W","YGR266W",6.1228404174051,0.05569,0.143261435803037
"YGR267C","FOL2",7.47937956341512,0.00589,0.0275063492063492
"YGR268C","HUA1",3.2424001910269,0.52401,0.641894653812445
"YGR270W","YTA7",8.40354350770418,0.00043,0.00450131086142322
"YGR271W","SLH1",7.06641416587037,0.01542,0.0556473854099419
"YGR271C-A","EFG1",1.12769478021617,0.91888,0.940181936310395
"YGR274C","TAF1",7.70354342710966,0.00068,0.0061112540192926
"YGR275W","RTT102",7.57879369326748,0.00189,0.0122139884393064
"YGR276C","RNH70",5.16385931113822,0.14875,0.286926328502415
"YGR277C","CAB4",8.2722216325252,0.00043,0.00450131086142322
"YGR278W","CWC22",5.75493067776668,0.07449,0.176664870598218
"YGR279C","SCW4",8.74096794346134,0,0
"YGR280C","PXR1",1.66589913102736,0.83147,0.873997235802933
"YGR281W","YOR1",5.67189743898944,0.07748,0.181903905921882
"YGR282C","BGL2",4.66804483504186,0.21481,0.366876840818821
"YGR283C","YGR283C",3.20782993001531,0.50109,0.623712558450234
"YGR284C","ERV29",4.37151422669616,0.27199,0.426606088664422
"YGR285C","ZUO1",7.15412776514695,0.00768,0.0333058184639255
"YGR286C","BIO2",7.11604355039746,0.00256,0.0151432804232804
"YGR287C","IMA1",6.46230080558415,0.02769,0.0848613486842105
"YGR288W","MAL13",8.27774849705315,0.00112,0.00844912280701754
"YHL047C","ARN2",4.6922699269959,0.21568,0.368137770992366
"YHL044W","YHL044W",7.6569297618355,0.00177,0.0117092307692308
"YHL042W","YHL042W",5.17605927459834,0.14806,0.285792610497238
"YHL040C","ARN1",7.03909512538762,0.0123,0.0470294117647059
"YHL039W","EFM1",2.12791735083716,0.74622,0.811039016329705
"YHL038C","CBP2",7.37162676927826,0.00901,0.0373771682727947
"YHL036W","MUP3",3.16926871756134,0.52946,0.646500961118392
"YHL035C","VMR1",6.57594036443957,0.02791,0.0854418948521358
"YHL034C","SBP1",6.05015379087888,0.0515,0.135602920395667
"YHL033C","RPL8A",7.01693545005553,0.01457,0.0534424540682415
"YHL032C","GUT1",4.749481021377,0.20919,0.360361201848998
"YHL031C","GOS1",5.28664060992196,0.12876,0.260974764321972
"YHL030W","ECM29",3.39125321344385,0.46729,0.597498376029277
"YHL029C","OCA5",4.32051813512915,0.2748,0.430048152295633
"YHL028W","WSC4",7.5796564352799,0.0079,0.0339178187403994
"YHL027W","RIM101",4.66359694838337,0.21819,0.370600698663426
"YHL026C","YHL026C",8.20076868370454,0.00012,0.0021921568627451
"YHL025W","SNF6",4.58377592488331,0.20668,0.357324953675108
"YHL024W","RIM4",3.82272914838427,0.39121,0.532779006332197
"YHL023C","NPR3",5.10902371827361,0.12668,0.257493565976009
"YHL021C","AIM17",5.53708119435973,0.0719,0.172128907922912
"YHL020C","OPI1",3.35855526181198,0.58429,0.688631899641577
"YHL019C","APM2",1.50942966097941,0.87051,0.90197421686747
"YHL018W","YHL018W",5.91697912287172,0.07067,0.170941280830809
"YHL017W","YHL017W",6.65347451272617,0.02838,0.0866434735117422
"YHL015W","RPS20",3.45097175686074,0.46294,0.593267904630903
"YHL014C","YLF2",5.45652255698548,0.10065,0.218075
"YHL013C","OTU2",5.09025076209092,0.15591,0.295368631436314
"YHL011C","PRS3",3.57332564160106,0.41971,0.557380864197531
"YHL010C","ETP1",7.27021266496839,0.00339,0.0186700492610837
"YHL009C","YAP3",4.6776060427033,0.21919,0.371683287837428
"YHL007C","STE20",0.589098314711835,0.97797,0.98271657379112
"YHL006C","SHU1",2.6602035835318,0.64361,0.735591883050501
"YHL004W","MRP4",8.71740086863077,0.00023,0.00301100702576112
"YHL003C","LAG1",8.05025847811583,0.00156,0.0107394088669951
"YHL002W","HSE1",3.24110692279047,0.52597,0.643786358659952
"YHL001W","RPL14B",4.14151084361112,0.31424,0.467797870074547
"YHR001W","OSH7",2.23740429894676,0.73941,0.806775331772053
"YHR001W-A","QCR10",6.99954262204563,0.0135,0.0504782608695652
"YHR002W","LEU5",8.11812560495289,0.00048,0.00486086956521739
"YHR003C","YHR003C",0.370515321195156,0.99123,0.993362441735389
"YHR004C","NEM1",5.07516340795054,0.15608,0.295457907213004
"YHR005C","GPA1",8.5110344150198,0.00048,0.00486086956521739
"YHR005C-A","TIM10",5.31091720439862,0.11456,0.238240476190476
"YHR006W","STP2",5.62368306460751,0.09764,0.213874451410658
"YHR007C","ERG11",2.21523705621263,0.75394,0.816779166666667
"YHR008C","SOD2",4.88795940317389,0.17604,0.32056009771987
"YHR009C","YHR009C",5.74917677998019,0.07464,0.176720711562897
"YHR010W","RPL27A",4.21318348087182,0.30379,0.458226146788991
"YHR011W","DIA4",7.2555863196003,0.00715,0.0315706951026856
"YHR012W","VPS29",4.03118735811071,0.32883,0.480077200313398
"YHR013C","ARD1",5.11650208563126,0.15242,0.291387111111111
"YHR015W","MIP6",3.96096096399993,0.35976,0.506250880724711
"YHR016C","YSC84",5.94383766110381,0.06545,0.161483406884378
"YHR017W","YSC83",3.81066546010846,0.37943,0.522674642681124
"YHR018C","ARG4",3.51500733615974,0.44548,0.579124
"YHR019C","DED81",4.46774403748244,0.24726,0.401330836236934
"YHR020W","YHR020W",5.91114272352961,0.02396,0.0765788450543168
"YHR021C","RPS27B",3.04659396772635,0.54488,0.658807612456747
"YHR021W-A","ECM12",4.0627658284957,0.33166,0.48255580426861
"YHR022C","YHR022C",6.15344013146511,0.04884,0.130817249640632
"YHR023W","MYO1",8.6938173271836,8e-05,0.00176062992125984
